X,baseMean,log2FC,lfcSE,stat,pvalue,padj,ENSG_clean,SYMBOL
ENSG00000293025.1,55.39975706,-5.012069163,0.922088301,-5.435563122,5.46e-8,1.27476e-4,ENSG00000293025,LOC105371814
ENSG00000277027.1,16.76659157,-4.810408623,1.339027051,-3.592465605,3.27564e-4,0.01614765,ENSG00000277027,RMRP
ENSG00000251201.8,13.5000792,-4.627039586,1.419998077,-3.258482994,0.001120096,0.033272103,ENSG00000251201,TMED7-TICAM2
ENSG00000160888.7,57.42401909,-4.246918702,0.798019539,-5.321822955,1.03e-7,1.6581e-4,ENSG00000160888,IER2
ENSG00000233276.9,28.22768033,-4.206671538,1.06217198,-3.960442956,7.48e-5,0.00679442,ENSG00000233276,GPX1
ENSG00000149798.5,20.66854994,-4.143615869,1.084102122,-3.822163786,1.32286e-4,0.009313415,ENSG00000149798,CDC42EP2
ENSG00000284934.3,35.76229856,-4.101697025,0.967827413,-4.238045925,2.25e-5,0.003604118,ENSG00000284934,LOC128125816
ENSG00000234601.1,13.9511693,-4.059104944,1.177453959,-3.447357677,5.66099e-4,0.022270197,ENSG00000234601,CHRM3-AS1
ENSG00000172216.6,28.46052798,-4.009758448,0.902183889,-4.444502385,8.81e-6,0.001989172,ENSG00000172216,CEBPB
ENSG00000230613.1,28.85852325,-3.955458359,0.951599241,-4.156643037,3.23e-5,0.004417116,ENSG00000230613,HM13-AS1
