X,baseMean,log2FC,lfcSE,stat,pvalue,padj,ENSG_clean,SYMBOL
ENSG00000293025.1,55.39975706,-5.012069163,0.922088301,-5.435563122,5.46E-08,1.27E-04,ENSG00000293025,LOC105371814
ENSG00000277027.1,16.76659157,-4.810408623,1.339027051,-3.592465605,3.28E-04,0.01614765,ENSG00000277027,RMRP
ENSG00000251201.8,13.5000792,-4.627039586,1.419998077,-3.258482994,0.001120096,0.033272103,ENSG00000251201,TMED7-TICAM2
ENSG00000160888.7,57.42401909,-4.246918702,0.798019539,-5.321822955,1.03E-07,1.66E-04,ENSG00000160888,IER2
ENSG00000233276.9,28.22768033,-4.206671538,1.06217198,-3.960442956,7.48E-05,0.00679442,ENSG00000233276,GPX1
ENSG00000149798.5,20.66854994,-4.143615869,1.084102122,-3.822163786,1.32E-04,0.009313415,ENSG00000149798,CDC42EP2
ENSG00000284934.3,35.76229856,-4.101697025,0.967827413,-4.238045925,2.25E-05,0.003604118,ENSG00000284934,LOC128125816
ENSG00000234601.1,13.9511693,-4.059104944,1.177453959,-3.447357677,5.66E-04,0.022270197,ENSG00000234601,CHRM3-AS1
ENSG00000172216.6,28.46052798,-4.009758448,0.902183889,-4.444502385,8.81E-06,0.001989172,ENSG00000172216,CEBPB
ENSG00000230613.1,28.85852325,-3.955458359,0.951599241,-4.156643037,3.23E-05,0.004417116,ENSG00000230613,HM13-AS1
ENSG00000272269.2,26.57565156,-3.869474975,0.910776734,-4.248543942,2.15E-05,0.003526622,ENSG00000272269,NUP153-AS1
ENSG00000280987.4,12.8385545,-3.825538343,1.184541296,-3.229552533,0.001239841,0.035712066,ENSG00000280987,MATR3
ENSG00000186352.9,21.86215867,-3.825380094,0.957253606,-3.996203376,6.44E-05,0.0061489,ENSG00000186352,ANKRD37
ENSG00000240006.2,44.02351436,-3.73136303,0.761050515,-4.902911119,9.44E-07,5.35E-04,ENSG00000240006,LINC02004
ENSG00000229117.9,30.39044637,-3.635282007,0.822667036,-4.41889835,9.92E-06,0.002135493,ENSG00000229117,RPL41
ENSG00000188483.8,49.65849544,-3.58720073,0.80188607,-4.47345435,7.70E-06,0.001821564,ENSG00000188483,IER5L
ENSG00000260708.2,21.91004933,-3.566445635,0.950931893,-3.750474308,1.77E-04,0.010934075,ENSG00000260708,TBC1D22A-DT
ENSG00000139725.8,46.62103756,-3.534076407,0.81217843,-4.351354674,1.35E-05,0.002585011,ENSG00000139725,RHOF
ENSG00000286532.2,38.9923924,-3.49367111,0.760593736,-4.593347205,4.36E-06,0.001316282,ENSG00000286532,PARTICL
ENSG00000182327.8,28.57028677,-3.49256031,0.932985482,-3.743424068,1.82E-04,0.011107611,ENSG00000182327,GLTPD2
